Week,Agent_ID,Strategy,Risk_Tolerance,Memory_Length,Decision,Actual_Attendance
8,28,Pessimist,61,3,Stay,69
8,29,Average,74,2,Go,69
8,30,Pessimist,63,3,Stay,69
8,31,Pessimist,66,3,Go,69
8,32,Average,64,2,Go,69
8,33,Average,73,2,Go,69
8,34,Average,69,2,Go,69
8,35,Average,61,2,Go,69
8,36,Average,71,2,Go,69
8,37,Optimist,70,3,Stay,69
8,38,Optimist,65,3,Stay,69
8,39,Optimist,72,3,Stay,69
8,40,Average,60,2,Go,69
8,41,Pessimist,67,3,Go,69
8,42,Optimist,67,3,Stay,69
8,43,Average,62,2,Go,69
8,44,Pessimist,74,3,Go,69
8,45,Pessimist,72,3,Go,69
8,46,Optimist,68,3,Stay,69
8,47,Pessimist,66,3,Go,69
8,48,Average,75,2,Go,69
8,49,Average,73,2,Go,69
8,50,Average,73,2,Go,69
8,51,Pessimist,73,3,Go,69
8,52,Average,72,2,Go,69
8,53,Average,61,2,Go,69
8,54,Pessimist,63,3,Stay,69
8,55,Optimist,70,3,Stay,69
8,56,Optimist,60,3,Go,69
8,57,Optimist,66,3,Stay,69
8,58,Average,61,2,Go,69
8,59,Average,60,2,Go,69
8,60,Average,70,2,Go,69
8,61,Average,72,2,Go,69
8,62,Pessimist,68,3,Go,69
8,63,Optimist,61,3,Go,69
8,64,Average,66,2,Go,69
8,65,Pessimist,71,3,Go,69
8,66,Pessimist,62,3,Stay,69
8,67,Optimist,60,3,Go,69
8,68,Optimist,61,3,Go,69
